name,phone,address,website,description
HOME & COMMUNITY-BASED SERVICES $,210-261-3419,,,Medicaid Waiver Program that provides services to adults with serious mental illness to enable them to live and experience success in the community. Ser- vices are designed to support long-term recovery from mental illness.
HOPEWISE ,210-617-3185,"1931 NW Military Hwy, 206",,"Counseling center with services pertaining to chronic pain and illness, depression, anxiety, trau- ma, career counseling, parenting issues, and self- esteem issues"
JOSEPHINE RECOVERY CENTER,210-261-3800,711 E. Josephine St.,,"People experiencing a mental health or substance use crisis can often benefit from a detoxification program and stabilization unit rather than a busy emergency room. The Josephine Recovery Center, a 16-bed therapeutic facility, offers a safe, effective alternative for Bexar County adults recovering from a behavioral health crisis."
LAUREL RIDGE TREATMENT CENTER ,210-491-9400,17720 Corporate Woods Drive,,"laurelridgetc.com Specialized behavioral health care and/or addiction treatment including inpatient, outpatient, or partial hospitalization mental health, dual diagnosis pro- gram, electroconvulsive therapy treatment or more."
LET'S TALK COUNSELING SERVICES $ ,210-213-5780,,,"letstalkcounselingservices.com 1802 NE Loop 410, Ste 301D Individual and Group Therapy for a variety of men- tal health issues, but specializing in Domestic Vio- lence, Addiction, Trauma, and PTSD"
NAMI - SAN ANTONIO	,210-734-3349,"6800 Park Ten Blvd., Suite 248 E",,National Alliance on Mental Illness Free education classes and support for families and peers aimed at improving the quality of life for all people affected by mental illness.
BRIDGES TO CARE - SAN ANTONIO,,,,Faith-based initiative that connects congregations and service providers through training to be places of mental health and community wellness.
NEELY COUNSELING CENTER,210-523-4200,"11153 Westwood Loop, Bldg 1. Suite 121-123 Specialized in helping adults, couples, and teens find tools to combat anxiety and self-esteem issues through counseling, coaching, and online courses. Mental health advice podcast is available to teach, educate, and inspire you to drop your limiting back- story and live a more confident, fulfilled life.",,
NEW OPPORTUNITIES FOR WELLNESS	,210-450-7222,7810 Louis Pasteur Dr.,,"nowclinicsa.org The mission of NOW is to ensure that all Bexar County residents have rapid and continued access to behavioral health services such as Individual & Group Therapy, Case Management, Medication Management, and Peer Support"
CRISIS SUPPORT,,,,Living Room: Walk-in crisis service aimed to help clients cope and avoid hospitalization. Monday-Friday: 8:00 a.m.-4:00 p.m.
POWER PROGRAM $,210-261-3143,,,"powerprogramsa.org Serves young adults who have begun experiencing confusion, unusual thoughts, acting in ways that seem difficult for others to understand, hearing or seeing things others don't, withdrawing from family and friends, or becoming suspicious of other peo- ple."
PROSUMERS INTERNATIONAL	,800-577-3795,"6800 Park Ten Blvd, Suite 220N",,theProsumers.org Peer Support through a variety of groups to assist people in creating a life worth living.
"ROY MAAS’ YOUTH ALTERNATIVES, INC.",210-340-8077,3103 West Ave.,,"rmya.org FAMILY COUNSELING & RESOURCE CENTER 210-340-7971, ext. 1100 Low or no cost individual and family counseling, crisis intervention, parenting classes, and child & adolescent psychiatric services for community chil- dren and families struggling with emotional, behav- ioral, and mental health issues."
SAN ANTONIO COUNSELING & BEHAVIORAL,,,,
CENTER ,210-614-4990,"12915 Jones Maltsberger Rd., Building 300 Individual and group therapy specializing in assist- ing with marriage and family issues, grief, bereave- ment, anxiety, depression, and trauma",,"sacounselingcenter.com Psychotherapy for children, adolescents, adults, and families with services assisting issues such as addic- tion, eating disorder services, ADHD, autism, men- tal health evaluations, PTSD, depression, anxiety, and trauma SERENITY PLACE AT TX, LLC $  serenityplacellc.com 210-858-5898"
SIGMA MENTAL HEALTH URGENT CARE,210-314-4564,"18587 Sigma Rd, #260",,"Provide immediate walk-in psychiatric and thera- peutic services during moments of crisis. STAT COUNSELING & CONSULTING, LLC $  statcounseling.com 210-802-9355 12030 Bandera Rd A one-stop-shop for complete mental wellness of- fering both medication management and counsel- ing services all in one office."
TEXAS FAMILY VOICE NETWORK,,,,txfvn.org Peer Support for Families of Children and Young Adults with Behavioral Health Challenges
URGENT BEHAVIORAL HEALTH CARE ,210-591-1615,"311 Camden St., Suite 510",,"UrgentBehavioralHealthCare.com Provides comprehensive inpatient, outpatient and telepsychiatric services including urgent appoint- ments and convenient evening and weekend scheduling. YOUTH EMPOWERMENT SERVICES (YES) WAIVER PROGRAM $ 210-261-1135 Expanded Medicaid services for youth (ages 3-18) with severe emotional and/or behavioral needs to help prevent out-of-home placements and reduce psychiatric hospital re-admissions. Services include community living supports, counseling, and case management. Call to join the interest list."
PSYCHIATRIC INPATIENT,,,,Treatment that generally requires hospitalization
CLARITY CHILD GUIDANCE CENTER	,210-616-0300,,,"8535 Tom Slick Inpatient Hospitalization, Individual Therapy, Group Therapy, Case Management, Medication Manage- ment, Partial Hospitalization Program, Crisis"
LAUREL RIDGE TREATMENT CENTER ,210-491-9400,17720 Corporate Woods Drive,,"laurelridgetc.com Specialized behavioral health care and/or addiction treatment including inpatient, outpatient, or partial hospitalization mental health, dual diagnosis pro- gram, electroconvulsive therapy treatment and more."
METHODIST SPECIALTY AND TRANSPLANT HOSPITAL ,210-575-0500,8026 Floyd Curl Drive,,"sahealth.com/mentalwellness Full spectrum of adult and geriatric behavioral health services including Psychiatry Services, Family and Group Therapy, Partial Hospitalization Pro- gram, Intensive Outpatient Program, Partial Hospi- talization Program, and Opioid Stabilization Ser- vices"
SAN ANTONIO BEHAVIORAL HEALTHCARE HOSPITAL ,210-541-5300,8550 Huebner Rd.,,"sanantoniobehavioral.com Compassionate care, help, and support for those struggling with their mental health in San Antonio through services such as Inpatient Hospitalization, Partial Hospitalization, Intensive Outpatient Pro- gram, Individual and Group Therapy, Medication Management, and Case Management"
SAN ANTONIO STATE HOSPITAL,210-532-8811,,,"hhs.texas.gov 6711 South New Braunfels, Suite 100 The San Antonio State Hospital is an in-patient psy- chiatric hospital offering adult psychiatric services and forensic competency restoration."
UNIVERSITY HEALTH ,210-358-3108,5018 San Pedro,,"health Our behavioral and mental health services offer a safe, confidential and supportive atmosphere. We offer psychiatric evaluations, outpatient support and hospital-based treatment for adults. ALAMO CENTER EDUCATION + TREATMENT LLC	 alamocenter.org 210-824-5537 Intensive Outpatient Services"
ALPHA HOME	,210-735-3822,419 E Magnolia Ave,,"alphahome.org Women's residential treatment, outpatient counseling for men and women, ongoing recovery support"
BANYAN TREATMENT CENTERS $ ,888-515-7701,"4168 Co Rd 444, Waelder, TX 78959",,"banyantexas.com Addiction recovery that provides each patient the necessary tools to obtain and maintain long-term sobriety through services such as De- tox, Residential Treatment, Partial Hospitalization, Individual and Group Therapy, and Case Management"
BLUE HERON RECOVERY	,210-588-0508,,,"blueheronrecovery.com 2015 NE Loop 410 Recovery center offering experience programing (walking, garden- ing, art, yoga, disk golf, basketball), educational classes (taught by counselors and our physician), and deep process groups every day. Clients are assigned an individual therapist for weekly and family ses- sions."
CENTER FOR HEALTHCARE SERVICES	,210-261-2427,,,"Restoration Center and transformational services help people break the cycle of addiction and regain sobriety through safe, meaningful programs that reduce harms associated with substance use, promote total recovery for people with co-occurring mental health and sub- stance use disorders, and provide better care coordination."
CHARLIE HEALTH ,866-540-1828,,,"charliehealth.com 1- Intensive outpatient therapy program that provides group, primary, and family therapy weekly and 100% virtually. Bilingual clinicians (Spanish and English) work with clients (ages 11-30) for a host of mental health and substance use issues."
CONTINUUM OUTPATIENT CENTER ,210-405-5935,"6200 UTSA Blvd., Ste 102",,"continuumoutpatient.com Intensive outpatient treatment program for sub- stance use designed to help patients overcome past trauma, prevent relapse, heal relationships, and learn skills that enhance their lives. Services of- fered include Partial Hospitalization, Intensive Out- patient, Individual and Group Therapy, Case Man- agement, and Medication Management. Scholar- ship Opportunities Available."
CORAZON SAN ANTONIO,210.226.8341,"Harm Reduction Outreach: Aid clients that are suf- fering from drug addiction. Services include needle exchange, harm reduction education, medical care, HIV/HepC testing, case management and recovery coaching. Monday-Friday: 9:00 a.m.-3:00 p.m.",,corazonsa.org x318
"CROSSPOINT, INC	",210-225-0864,301 Yucca Street (Headquarters),,"cpsatx.org Provides mental health counseling, substance use treatment, life skills enhancement and/or transfor- mational residential services."
AUSTIN-CULLUM OUTPATIENT CENTER 210-549-4730,,,,Outpatient clinic licensed for addictions treatment and staffed with licensed mental health profession- als that provides free counseling services to resi- dents of District 2 who can benefit from supportive brief intervention counseling.
ELEANOR HEALTH	,726-201-3047,"8500 Village Dr, Suite 101",,"eleanorhealth.com/texas-referring-partners Eleanor Health's mission is to help anyone con- cerned about their mental health or affected by ad- diction live an amazing life. The program offers drug addiction recovery services, from outpatient drug rehabilitation to home addiction treatment services and more. Monday-Friday, 9:00 a.m.-5:00 p.m., Saturday: By appointment only"
GRACE HOUSE,210-493-7884,"Faith-based nonprofit ministry offering a 9-month recovery program established to train, support, and give hope to women following incarceration, drug and alcohol addiction, or those in the midst of peri- lous lifestyles.",,gracehousesa.org
GREENHOUSE TREATMENT CENTER $,972-846-8780,,,"greenhousetreatment.com 1171 107th St Grand Prairie, TX 75050 Provides flexible addiction recovery plans including services such as group therapies, detox, one-on- one counseling, activities, and much more."
JOSEPHINE RECOVERY CENTER,210-261-3800,711 E. Josephine St.,,"People experiencing a mental health or substance use crisis can often benefit from a detoxification program and stabilization unit rather than a busy emergency room. The Josephine Recovery Center, a 16-bed therapeutic facility, offers a safe, effective alternative for Bexar County adults recovering from a behavioral health crisis."
LAUREL RIDGE TREATMENT CENTER ,210-491-9400,17720 Corporate Woods Drive,,"laurelridgetc.com Specialized behavioral health care and/or addiction treatment including inpatient, outpatient, or partial hospitalization mental health, dual diagnosis pro- gram, electroconvulsive therapy treatment or more."
LET'S TALK COUNSELING SERVICES $ ,210-213-5780,,,"letstalkcounselingservices.com 1802 NE Loop 410, Ste 301D Individual and Group Therapy for a variety of men- tal health issues, but specializing in Domestic Vio- lence, Addiction, Trauma, and PTSD."
THE LOS PATIOS FOUNDATION	,210-588-0508,,,"thelospatiosfoundation.org 2015 NE Loop 410 The Foundation is committed to helping people struggling with drugs and alcohol find appropriate detox, residential, outpatient, and aftercare pro- grams. We also support life skills development op- portunities, family therapy, trauma therapy, fellow- ship, support groups, and community engagement. Scholarship opportunities available."
METHODIST SPECIALTY AND TRANSPLANT HOSPITAL ,210-575-0500,8026 Floyd Curl Drive,,"sahealth.com/mentalwellness Full spectrum of adult and geriatric behavioral health services including Psychiatry Services, Family and Group Therapy, Partial Hospitalization Pro- gram, Intensive Outpatient Program, Partial Hospi- talization Program, and Opioid Stabilization Ser- vices"
NEW OPPORTUNITIES FOR WELLNESS	,210-450-7222,7810 Louis Pasteur Dr.,,nowclinicsa.org The mission of NOW is to ensure that all Bexar County residents have rapid and continued access to behavioral health services.
RELAPSE PREVENTION WORKSHOPS,210-212-2926,1 Haven for Hope Way,,One-time workshops are available by appointment to help clients dealing with substance use problems develop a long-term recovery plan. These sessions help clients use problem-solving skills to prevent relapse and maximize harm-reduction skills if re- lapse does occur. PAY IT FORWARD CLEAN & SOBER LIVING Program that provides recovery support and sober living facilities for both men and women to help them rebuild their lives after they complete drug and alcohol rehab providing them a significantly improved chance of staying clean & sober than with drug rehab programs alone.
PROSUMERS INTERNATIONAL	,800-577-3795,"6800 Park Ten Blvd, Suite 220N",,theProsumers.org Peer Support through a variety of groups to assist people in creating a life worth living.
THE RESTORATION CENTER	,210-261-3076,"440 Fischer Store Rd, Wimberley, TX 78676 Residential drug and alcohol rehab center that pro- vides comprehensive, evidence-based treatment for substance use and co-occurring disorders for adults.",,"601 N. Frio Helps people break the cycle of addiction and re- gain sobriety through safe, meaningful programs that reduce harms associated with substance use, promote total recovery for people with co- occurring mental health and substance use disor- ders, and provide better care coordination for the most acute people in Bexar County. THE RIGHT STEP HILL COUNTRY $  rightsteprehabhillcountry.com 844-806-1488"
RIPPLE RANCH RECOVERY CENTER,830-494-4717,,,"rippleranch.com 2098 Texas Oaks Spring Branch, TX 78070 Addiction treatment center in Texas Hill Country focusing on providing unique and effective care to those battling substance use and mental health disorders. Services offered include Inpatient Hospitalization, Individual and Group Therapy, Case Management, Medication Management, Crisis Services. Scholarships available periodically."
RISE RECOVERY	,210-227-2634,,,"RiseRecovery.org Peer/Recovery Support Services available for youth, young adults, and families including group meetings, one-on-one sessions, edu- cation classes, and social activities (both in person and virtual). We also provide outreach to local school districts."
RISE INSPIRE ACADEMY,,,,A high school for students actively seeking sobriety from drugs and alcohol in a high-quality academic environment.
SA JOB DEVELOPMENT $,210-261-3035,6655 First Park Ten Blvd,,"A supported employment program designed to assist individuals, identified as having an Opioid Use Disorder, in finding gainful em- ployment."
SALVATION ARMY,,,,salvationarmysanantonio.org
ADULT REHABILITATION CENTER 210-223-6877,,,,"Provides assistance for adults who have lost the ability to cope with their problems and provide for themselves. Each center offers resi- dential housing, work, group and individual therapy, all in a clean, wholesome environment. The care received prepares participants to re-enter society and return to gainful employment. 18"
SAN ANTONIO BEHAVIORAL HEALTHCARE HOSPITAL ,210-541-5300,8550 Huebner Rd.,,"sanantoniobehavioral.com Compassionate care, help, and support for those struggling with addiction in San Antonio through substance use services such as Residential, Inten- sive Outpatient, Partial Hospitalization, Detox, and Medication Assisted Treatment"
SAN ANTONIO RECOVERY CENTER,844-931-4791,"Independent drug & alcohol treatment center offer- ing a full spectrum of treatment to ensure clients receive the best chance of recovery. Programs of- fered include Residential Treatment, Intensive Out- patient, Detox, Aftercare Program, and 90-Day Treatment.",,"sanantoniorecoverycenter.com 5806 Culebra Rd San Antonio, TX 78228 8975 Cagnon Rd. San Antonio, TX 78252"
STARLITE RECOVERY CENTER ,844-650-1390,,,"StarliteRecovery.com Provides comprehensive, individualized continuum of care for chemically dependent persons and/or their family members who have been affected by the diseases of alcoholism and/or drug addiction. Services include Residential, Intensive Outpatient, Partial Hospitalization, and Detox. Call for free insur- ance verification."
TEXAS FAMILY VOICE NETWORK,,,,txfvn.org Peer Support for Families of Children and Young Adults with Behavioral Health Challenges
AGENCY,,,,
SHOUT OUT,,,,
NAMI - SAN ANTONIO,210-734-3349,"6800 Park Ten Blvd., Suite 248 E",,"National Alliance on Mental Illness NAMI is the National Alliance on Mental Illness, the nation’s largest grassroots mental health or- ganization dedicated to building better lives for the millions of Americans affected by mental ill- ness. Support Groups Free, confidential peer support groups discuss- ing mental health to gain insight from the chal- lenges and successes of others facing similar ex- periences. Separate groups are available for adults (18+) with mental health conditions and their families. NAMI on Campus Student-led clubs that support fellow stu- dents raise mental health awareness, educate the campus community and promote services and supports. Pathways to Hope Conference Free, community-wide conference focused on reducing stigma, improving mental health sup- port, providing education and resources Education Free educational programs to discuss mental health experiences, effective tools for recovery, common support needs for individuals experi- encing mental illness and their families. Stigma Reduction Free presentations can be scheduled that in- form and educate viewers of the warning signs and misconceptions of mental health condi- tions. Ending the Silence In Our Own Voice NAMIWalk namiwalks.org Annual mental health awareness 5k fundraiser encouraging Mental Health for All."
EMERGENCY SHELTERS,,,,Temporary facility that provides immediate shelter for individuals in crisis with nowhere to sleep.
BETHANY UNITED METHODIST CHURCH,210-655-5473,4102 Eisenhower Rd.,,"bethanysa.org Winter overflow shelter services (32˚ or below), 5:00 p.m.-8:00 a.m., laundry, shower, meal"
THE CHILDREN’S SHELTER,210-212-2500,"Emergency Shelter and safe haven for children (up to age 12) who have been removed from their homes due to traumatic experiences such as abuse, neglect, and/or abandonment.",,childrensshelter.org 2939 West Woodlawn
FAMILY VIOLENCE PREVENTION SERVICES,210-930-3669,7911 Broadway,,"fvps.org Offers residential and non-residential clients shelter, transitional housing, counseling for adults, children, families, and legal services. These services help individuals and families recovery from the pain and longer-term effects of domestic violence."
HAVEN FOR HOPE	,210-220-2100,1 Haven For Hope Way,,havenforhope.org Transformational campus that provides a system of care for individu- als and families experiencing homelessness in Bexar County. All of Haven for Hope programs provide indoor sleeping and access to housing and sustainability services. Individuals experiencing home- lessness can be enrolled into one of Haven’s various programs on a first-come-first-served basis and dependent on space availability. In- take hours are Monday-Friday: 7:00 a.m.-3:00 p.m.
"ROY MAAS’ YOUTH ALTERNATIVES, INC.",210-340-8077,3103 West Ave.,,"rmya.org Creates brighter futures for children in crisis by promoting individual success and healthy relationships in a safe, healing environment, giv- ing children and families the tools to end the cycle of abuse."
THE BRIDGE 210-340-7933,,"Children (ages 5-17) needing a safe place to stay for a short time receive 24-hour care while a more permanent placement is determined. Emergency shelter services are provided for trafficked, runa- way, homeless, foster youth and children transition- ing from juvenile probation. Call prior to arriving.",,
SALVATION ARMY,210-352-2000,,,salvationarmysanantonio.org
DAVE COY SHELTER FOR MEN,210-226-2291,226 Nolan St.,,ST. PETER – ST. JOSEPH CHILDREN’S HOME stpjhome.org 210-533-1203 919 Mission Rd. Short-term emergency shelter for children (ages birth to 17) who are victims of abuse or neglect and are under the protection of Child Protective Ser- vices.
STRONG FOUNDATION MINISTRIES,210-641-4357,414 N. Hackberry St.,,strongfoundation.org Emergency and temporary housing for homeless families with children Emergency shelter and transitional housing oppor- tunities for men (ages 18+) experiencing chronic homelessness and/or lack a stable housing environ- ment. Participants receive three meals daily and work with a case manager to identify and coordi- nate available educational and career development opportunities.
EMERGENCY FAMILY SHELTER,210-352-2046,,,521 W. Elmira
SAN ANTONIO RESCUE MISSION,210-222-9736,,,sarescuemission.org 907 E. Quincy Faith-based organization offering dormitory shelter to homeless men (ages 18+)
SETON HOME,210-533-3504,1115 Mission Rd.,,"setonhomesa.org Emergency shelter for pregnant and parenting teen mothers and their children in order to break the cy- cle of abuse and poverty by providing a caring home, education, and support services."
HOUSING & RENTAL ASSISTANCE,,,,General information and financial assistance related to housing.
ALAMO COMMUNITY GROUP,210-731-8030,"4606 Centerview Drive, Suite 170",,"alamocommunitygroup.org Housing organization offering affordable housing that promotes resident education, self-sufficiency, leadership and volunteerism"
HOUSE OUR HEROES PROGRAM 210-699-9074,,,,Affordable housing and extensive supportive ser- vices for homeless and at-risk veteran families.
ENDEAVORS,210-431-6466,6363 De Zavala Rd. (Headquarters),,"endeavors.org Supportive housing, case management, profession- al counseling, life skills training, and employment opportunities for chronically homeless adults with disabilities and their children throughout Texas. 22"
FAIR WEATHER LODGE 210-840-6437 (SARAH),,Permanent supportive housing serving a vulnerable population in San Antonio and Bexar County of sin- gle mothers with disabilities and their children who have experienced chronic homelessness. Call-in assessment hours are Mondays: 9:00 a.m.-10:45 a.m.,,
HABITAT FOR HUMANITY,210-223-5203,,,habitatsa.org 311 Probandt Habitat is a nonprofit housing organization working with local families in need of affordable homes.
HAVEN FOR HOPE	,210-220-2100,1 Haven For Hope Way,,havenforhope.org Transformational campus that provides a system of care for individuals and families experiencing homelessness in Bexar County. All of Haven for Hope programs provide indoor sleeping and ac- cess to housing and sustainability services. Individu- als experiencing homelessness can be enrolled into one of Haven’s various programs on a first-come- first-served basis (dependent on space availability). Intake hours are Monday-Friday: 7:00 a.m.-3:00 p.m.
HOUSING AUTHORITY OF BEXAR COUNTY,210-225-0071,1954 E. Houston St.,,habctx.org Aim to provide rental assistance to income-eligible households and to provide improved living condi- tions in Bexar County
INMAN CHRISTIAN CENTER,210-222-9641,1214 Colima Street,,"inmancenter.org Neighborhood-based community center serving the needs of low-income individuals and families in the inner city of San Antonio. Inman provides child- care, social services, education, recreation, and emergency food assistance as well as housing for individuals who are elderly and/or disabled."
MERCED HOUSING TEXAS,210-281-0234,120 W. Mistletoe Ave.,,"mercedhousingtexas.org Dedicated to creating healthy communities by providing quality, affordable housing with support- ive services for low-income individuals, families, and older adults where opportunities for education, em- ployment, financial literacy and health are en- hanced and encouraged."
OPPORTUNITY HOME SAN ANTONIO,210-477-6000,,,"homesa.org 818 S. Flores Provides quality, affordable housing and builds sus- tainable, thriving communities. Previously San Anto- nio Housing Authority."
PROSPERA HOUSING COMMUNITY SERVICES,210-821-4300,3419 Nacogdoches Rd.,,"prosperahcs.org Empowering families by providing safe, high- quality, affordable housing with support services. Our supportive housing provides a starting point for pursuing goals, fulfilling dreams, restoring spirit, and building self-endurance."
SAMMINISTRIES,210-340-0302,,,"samm.org 1919 NW Loop 410, Suite 100"
RAPID RE-HOUSING 210-321-5620,,,,Financial assistance is provided to homeless indi- viduals and families for up to 3 months along with 12 months of case management.
PERMANENT SUPPORTIVE HOUSING 210-321-5683,,,,Assists families with whom one member of the fami- ly has a disability empowering them to live as inde- pendently as possible
SAN ANTONIO ALTERNATIVE HOUSING CORP.,,,,"saahc.org Nonprofit organization that provides housing and support services for low and moderate-income communities in Texas SOUTH ALAMO REGIONAL ALLIANCE FOR THE HOMELESS (SARAH) sarahomeless.org/resources Homelink is San Antonio and Bexar County’s local Coordinated Entry System – a uniform, community- wide approach to connect persons who are literally homeless or at imminent risk of homelessness to housing resources."
TEMPORARY & TRANSITIONAL,,,,Temporary housing with supportive services that help stabilize and educate individuals experiencing homelessness.
BAPTIST CHILD & FAMILY SERVICES,210-733-7932,,,"discoverbcfs.net/sanantonio 4346 NW Loop 410 Transitional Center that offer case management, counseling, sheltering, and life skills training to at- risk young adults aging out of the foster care sys- tem."
